module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMad Method,bmad-hazard-analysis,Hazard Analysis,HA,Hazard identification and risk assessment using FMEA FTA HAZOP STPA. Produces hazard log with severity and SIL/DAL assignment.,,0-safety-certification,,,false,planning_artifacts,hazard analysis
BMad Method,bmad-certification-plan,Certification Plan,CP2,Create certification plan including PSAC V&V plan CM plan QA plan for DO-178C IEC 61508 or ECSS compliance.,,0-safety-certification,bmad-hazard-analysis,,false,planning_artifacts,certification plan
BMad Method,bmad-safety-requirements,Safety Requirements,SR,Derive safety requirements from hazards assign criticality levels and allocate to components.,,0-safety-certification,bmad-hazard-analysis,,false,planning_artifacts,safety requirements
BMad Method,bmad-traceability-setup,Traceability Setup,TU,Initialize bidirectional traceability matrix linking hazards to safety requirements to design to code to tests.,,0-safety-certification,bmad-safety-requirements,,false,planning_artifacts,traceability matrix
BMad Method,bmad-safety-case,Safety Case,SCL,Build structured safety argument using GSN (Goal Structuring Notation) with claims evidence and argument structure.,,0-safety-certification,,,false,planning_artifacts,safety case
BMad Method,bmad-compliance-matrix,Compliance Matrix,CM3,Map regulatory objectives to evidence identify compliance gaps and produce remediation plan.,,0-safety-certification,,,false,planning_artifacts,compliance matrix
BMad Method,bmad-gate-review,Gate Review,GR,Conduct formal gate reviews PDR TRR QR FQR with criteria checklist and pass/fail decision.,,0-safety-certification,,,false,planning_artifacts,gate review report
BMad Method,bmad-structural-coverage,Structural Coverage,SC2,Assess structural code coverage MCDC/DC/SC per DO-178C DAL requirements with gap analysis.,,0-safety-certification,,,false,planning_artifacts,coverage report
BMad Method,bmad-traceability-matrix,Traceability Matrix,TM,Generate complete bidirectional traceability report with forward/reverse links and orphan analysis.,,0-safety-certification,,,false,planning_artifacts,traceability report
BMad Method,bmad-ecss-compliance,ECSS Compliance,EC,Map ECSS-E-ST-40C and Q-ST-80C objectives to project evidence identify compliance gaps and produce remediation plan for space software.,,0-safety-certification,,,false,planning_artifacts,ecss compliance matrix
BMad Method,bmad-tool-qualification,Tool Qualification,TQ,DO-330/ED-215 tool qualification process for verification tools used in DO-178C projects. Includes criteria determination plan execution and report.,,0-safety-certification,,,false,planning_artifacts,tool qualification report
BMad Method,bmad-formal-methods,Formal Methods,FM,DO-333/ED-216 formal methods supplement for DO-178C. Apply model checking theorem proving abstract interpretation for safety-critical software verification.,,0-safety-certification,,,false,planning_artifacts,formal methods report
